host,passed,failed,compliance_percentage
10.115.5.67,1,0,100.0
10.115.5.64,1,0,100.0
10.115.5.63,1,0,100.0
10.115.5.203,1,0,100.0
10.130.35.70,2,0,100.0
apexdev,164,11,93.71
apextst,163,12,93.14
apexqa,163,12,93.14
apexprod,161,14,92.0
ntxcloudctl,159,16,90.86
erwintest,159,16,90.86
provationprod,159,16,90.86
provationtest,158,17,90.29
provdb1srv,156,19,89.14
cenrman,156,19,89.14
bswcloud01,155,20,88.57
bswcloud02,154,21,88.0
provtestdb,153,22,87.43
cltest1,153,22,87.43
edwtst,153,22,87.43
cltest2,152,23,86.86
chaos,149,26,85.14
eaeprd,148,27,84.57
eaetst,148,27,84.57
easdev,148,27,84.57
edwdev,146,29,83.43
bswappsync1,146,29,83.43
epictesthat1,144,31,82.29
epictesthat2,144,31,82.29
easprd,143,32,81.71
eaedev,142,33,81.14
eastst,141,34,80.57
drcenlabdb1,119,56,68.0
epicprddr1,117,58,66.86
epicprddr2,116,59,66.29
ecpdrtst1,116,59,66.29
ecpprd18,115,60,65.71
utilprd10,115,60,65.71
ecpprd7,115,60,65.71
utildrtst1,115,60,65.71
ecpprd5,115,60,65.71
ecpprd6,115,60,65.71
utilprd1,115,60,65.71
ecpprd2,115,60,65.71
utilprd7,115,60,65.71
ecpprd4,115,60,65.71
ecpprd1,115,60,65.71
utilprd9,115,60,65.71
ecpdrtst3,115,60,65.71
utilprd2,115,60,65.71
ecpprd15,115,60,65.71
ecpprd17,115,60,65.71
ecpprd21,115,60,65.71
utilprd3,115,60,65.71
utildrtst2,115,60,65.71
ecpdrtst2,115,60,65.71
ecpdrtst4,115,60,65.71
utildrtst3,115,60,65.71
ecpprd3,115,60,65.71
ecpprd8,115,60,65.71
ecpprd14,115,60,65.71
ecpprd20,115,60,65.71
ecpprd12,115,60,65.71
ecpprd11,115,60,65.71
ecpprd19,115,60,65.71
ecpprd9,115,60,65.71
ecpprd10,115,60,65.71
ecpprd4-tmp,114,61,65.14
epicrptdr,114,61,65.14
ecpprd3-tmp,114,61,65.14
epicprd1,114,61,65.14
ecpprd16-tmp,114,61,65.14
ecpprd6-tmp,114,61,65.14
ecpprd14-tmp,114,61,65.14
utildrtst4,114,61,65.14
utilprd4,113,62,64.57
ecpprd7-old,113,62,64.57
ecpprd12-old,113,62,64.57
ecpprd17-old,113,62,64.57
epicprd2,113,62,64.57
utilprd5,113,62,64.57
ecpprd9-old,113,62,64.57
ecpprd10-old,113,62,64.57
ecpprd8-old,113,62,64.57
utilprd8,113,62,64.57
utilprd6,113,62,64.57
ecpprd11-old,113,62,64.57
ecpprd15-old,113,62,64.57
cenora1,111,64,63.43
utiltest1,111,64,63.43
ecptest2,111,64,63.43
ecptest1,111,64,63.43
utiltest2,111,64,63.43
epicrestore2,111,64,63.43
idmdbprod,110,65,62.86
appworxprod,110,65,62.86
idmdbdr,110,65,62.86
baucis,109,66,62.29
ntxnim,109,66,62.29
epicrestore1,109,66,62.29
safetracedb,108,67,61.71
cenbbdonordb,107,68,61.14
appworxtst,107,68,61.14
svtrans02,107,68,61.14
mstrans02,107,68,61.14
epicmirror,107,68,61.14
edwprd,106,69,60.57
phoenixbuild,106,69,60.57
epicreport,105,70,60.0
epictrain,105,70,60.0
drtstrpt2,104,71,59.43
drtstrpt1,104,71,59.43
cenlabdb1,103,72,58.86
clprod2,103,72,58.86
gp7vio1,103,72,58.86
nymphi,103,72,58.86
cenlabapp1,103,72,58.86
gp8vio1,103,72,58.86
cenlabdb2,103,72,58.86
clprod1,103,72,58.86
claimsxtenprd,103,72,58.86
epictrain-new,103,72,58.86
gp8vio2,103,72,58.86
gp7vio2,103,72,58.86
gp4vio2,102,73,58.29
gp5vio1,102,73,58.29
gp6vio1,102,73,58.29
phoenixbuild_new,102,73,58.29
spidermanvio1,102,73,58.29
tlabdb2,102,73,58.29
tlabwl2,102,73,58.29
gp6vio2,102,73,58.29
spidermanvio2,102,73,58.29
labdb2,102,73,58.29
gp4vio1,102,73,58.29
gp5vio2,102,73,58.29
midas,101,74,57.71
labdb1,101,74,57.71
gp3vio2,101,74,57.71
tlabdb1,101,74,57.71
claimsxtentst,101,74,57.71
cenlabapp2,101,74,57.71
gp3vio1,101,74,57.71
tlabapp2,101,74,57.71
labapp1,100,75,57.14
tlabwl1,100,75,57.14
labwl1,100,75,57.14
labapp2,100,75,57.14
epic_nonprdvio2,100,75,57.14
lawdevapp,100,75,57.14
tlabapp1,100,75,57.14
epic_nonprdvio1,100,75,57.14
lawdevdb,99,76,56.57
labwl2,99,76,56.57
lawtraindb,99,76,56.57
drtst1,99,76,56.57
lawtraindbdr,99,76,56.57
lawprddb1,99,76,56.57
lawdrdb1,99,76,56.57
phoenixprdbld-new,98,77,56.0
ntxclnmnt,98,77,56.0
lawtrainapp01,98,77,56.0
drlabdb1,98,77,56.0
drtst2,98,77,56.0
lawprdapp1,98,77,56.0
epiccog,97,78,55.43
epictec,97,78,55.43
phoenixprdbld,97,78,55.43
epicsup,97,78,55.43
epicsup-new,96,79,54.86
phoenixclnmnt,96,79,54.86
hawkeyevio1,96,79,54.86
hawkeyevio2,96,79,54.86
epiccog-new,96,79,54.86
lawprddb2,67,108,38.29
lawprdapp2,67,108,38.29
